
 num     #instances         #bytes  class name
 212:             3            216  sun.rmi.transport.ConnectionOutputStream
 213:             9            216  sun.util.logging.PlatformLogger$Level
 214:             7            208  [Ljava.lang.invoke.LambdaForm$NamedFunction;
 215:            10            208  [Ljava.lang.reflect.Type;
 216:             5            200  java.lang.invoke.BoundMethodHandle$SpeciesData
 217:             6            192  java.lang.invoke.LambdaForm$BasicType
 218:             8            192  java.lang.invoke.MethodHandleImpl$Intrinsic
 219:             4            192  java.nio.HeapByteBuffer
 220:             8            192  java.util.Collections$UnmodifiableRandomAccessList
 221:             6            192  java.util.LinkedList
 222:             8            192  java.util.LinkedList$Node
 223:            12            192  java.util.concurrent.atomic.AtomicInteger
 224:             8            192  java.util.concurrent.atomic.AtomicLong
 225:             8            192  sun.reflect.generics.factory.CoreReflectionFactory
 226:             6            192  sun.reflect.generics.tree.MethodTypeSignature
 227:             2            176  javax.management.remote.rmi.NoCallStackClassLoader
 228:             3            168  [Ljava.io.ObjectInputStream$HandleTable$HandleList;
 229:             9            168  [Lsun.reflect.generics.tree.FieldTypeSignature;
 230:             7            168  com.sun.management.VMOption$Origin
 231:             3            168  java.io.ObjectInputStream$BlockDataInputStream
 232:             3            168  java.lang.Package
 233:             7            168  java.net.NetPermission
 234:             7            168  java.rmi.server.ObjID
 235:             3            168  javax.management.openmbean.OpenMBeanOperationInfoSupport
 236:             7            168  sun.management.counter.Units
 237:             7            168  sun.reflect.NativeMethodAccessorImpl
 238:             3            168  sun.rmi.transport.Target
 239:             9            160  [Lsun.reflect.generics.tree.FormalTypeParameter;
 240:             2            160  [[Ljava.lang.String;
 241:             5            160  java.io.DataInputStream
 242:            10            160  java.io.FileInputStream$1
 243:             5            160  javax.management.StandardEmitterMBean
 244:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type
 245:             6            144  java.lang.Thread$State
 246:             3            144  java.lang.ThreadGroup
 247:             3            144  java.net.SocketInputStream
 248:             9            144  java.rmi.server.Operation
 249:             6            144  java.util.BitSet
 250:             3            144  java.util.concurrent.ThreadPoolExecutor$Worker
 251:             6            144  sun.misc.PerfCounter
 252:             3            144  sun.misc.URLClassPath
 253:             3            144  sun.nio.cs.StreamEncoder
 254:             6            144  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 255:             6            144  sun.reflect.generics.scope.MethodScope
 256:             6            144  sun.rmi.transport.ObjectEndpoint
 257:             3            128  [Ljava.lang.Thread;
 258:             4            128  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping
 259:             2            128  java.io.ExpiringCache$1
 260:             4            128  java.net.Socket
 261:             4            128  java.security.BasicPermissionCollection
